Scale.Radius,Length
2.5388,160
1.791,130
2.88673,140
2.05391,130
2.1987,130
2.22434,140
2.53868,170
2.59566,150
1.68293,130
2.32455,140
2.70714,160
2.29725,140
2.26859,140
2.59289,160
2.12666,140
2.20377,130
3.14684,150
2.34561,130
1.68741,120
2.51823,130
2.8703,160
2.94802,180
3.10839,180
3.39548,170
1.38768,81
1.76145,97
1.88736,97
1.92727,102
1.8698,102
1.6378,104
1.85618,112
1.8413,112
1.83661,119
2.1003,122
2.18675,124
2.20111,127
2.23716,127
2.65555,132
2.55666,132
2.54618,137
2.7703,142
3.06095,145
2.73968,147
2.6985,147
2.93909,152
2.839,152
2.9723,155
2.79205,157
2.79859,160
3.25364,168
2.72511,168
2.4127,170
3.29402,170
3.28745,170
3.06602,172
3.12907,170
3.54607,180
2.31484,140
2.8195,170
2.77789,150
2.655,170
2.79148,170
1.29638,78
1.47898,84
3.12846,182
3.04629,179